brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Agroeste,Bayer,Biotechnology & Pharmaceuticals,3,0,-1,CL-01,1.0,0,51558,Brazil,1,0
Agropur Dairy Cooperative,Agropur Dairy Cooperative,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,446281,8200,Canada,1,0
Agropur Signature,Agropur Dairy Cooperative,"Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,446281,8200,Canada,1,0
Aguila,Anheuser-Busch InBev,Alcoholic Beverages,0,0,-1,CL-01,0.0,3680000,57800,Mexico,1,0
Aguila,Molson Coors Beverage Company,Alcoholic Beverages,0,0,-1,CL-01,0.0,872621,10280,Mexico,1,0
Ahold Delhaize,Ahold Delhaize USA,Food Retailers & Distributors,0,0,-1,CL-01,0.0,2679000,91646,Netherlands,2,0
Ahumada,"Walgreens Boots Alliance, Inc.",Drug Retailers,1,0,-1,CL-01,0.0,1500000,132509,Chile,1,0
Aidells,Tyson Foods Inc.,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,5760000,53282,United States,1,0
Aim,"Church & Dwight Co., Inc.",Household & Personal Products,0,0,-1,CL-01,0.6,99310,5190,United States,0,0
Air Tours Inc,Patel Brothers,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,50,United States,2,0
Ajax,Colgate-Palmolive Co.,Household & Personal Products,0,0,-1,CL-01,0.0,421100,17421,United States,0,0
Aji-Aroma,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-Jelly,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-Mayo,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-Mix,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-Ngon,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-no-men,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Japan,0,0
Aji-no-mix,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Japan,0,0
Aji-no-moto Plus,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Japan,0,0
Aji-no-sillao,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-quick,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-sal,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Aji-Sazón,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Ajimate,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Philippines,0,0
Ajinomoto,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Japan,1,0
AjiPro-L,Ajinomoto,Processed Foods,3,0,-1,CL-01,1.0,0,969,Japan,0,0
Aktren,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,Germany,0,0
Alamos,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,3,0,-1,CL-01,1.0,0,5200,Argentina,0,0
Albert,Ahold Delhaize USA,Food Retailers & Distributors,3,0,-1,CL-01,0.0,2679000,91646,Netherlands,0,0
Albert Hejin,Ahold Delhaize USA,Food Retailers & Distributors,3,0,-1,CL-01,0.0,2679000,91646,Netherlands,0,0
Albert Van Zoonen,JBS USA,"Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,5558685,374900,Netherlands,0,0
Albertsons,Albertsons Cos.,Food Retailers & Distributors,0,0,-1,CL-01,0.0,3900165,79930,United States,2,0
Aldi,Aldi U.S.,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,121100,Germany,2,0
Aldi U.S.,Aldi U.S.,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,121100,United States,2,0
Aleve,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,0,0
Alex Lee,Alex Lee Inc.,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,3200,United States,2,0
Alexia,Conagra Brands Inc.,Processed Foods,0,0,-1,CL-01,0.0,802107,11500,United States,0,0
Alexis de Portneuf,Saputo Inc.,Processed Foods,3,0,-1,CL-01,0.0,879317,12880,Canada,0,0
Alfa Beta,Ahold Delhaize USA,Food Retailers & Distributors,0,0,-1,CL-01,0.0,2679000,91646,Argentina,0,0
Align,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,United States,0,0
Alimentaation Couche-Tard,Alimentation Couche-Tard,Food Retailers & Distributors,3,0,-1,CL-01,0.0,848292,71857,Canada,2,0
