brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Ember Farms,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,0.0,3944258,19100,United States,1,0
Emdepes,Nissui,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,6000,United States,1,0
Emerald,Campbell Soup Company,Processed Foods,0,0,1,CL-01,0.0,672061,7635,United States,1,0
Emeril's,B&G Foods Inc.,Processed Foods,0,0,1,CL-01,0.0,86441,2056,United States,1,0
Empire Company,Empire Company Ltd. (Sobeys),Food Retailers & Distributors,0,0,3,CL-01,0.0,632820,22860,United States,1,0
ENA,Ahold Delhaize USA,Food Retailers & Distributors,0,0,3,CL-01,0.0,2679000,91646,United States,1,0
Enchanted Wish,Mary Kay Inc.,Household & Personal Products,0,0,1,CL-01,1.0,0,2800,United States,1,0
Endust,"Diversey Holdings, Ltd.",Chemicals,1,0,5,CL-01,0.0,24832,2619,United States,1,0
Energy Dispatch,RaceTrac,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,19700,United States,1,0
Enforcer,"Zep, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,1000,United States,1,0
Enhancements,"Rodan & Fields, LLC",Household & Personal Products,0,0,1,CL-01,0.0,336,600,United States,1,0
Entenmann's,"Bimbo Bakeries USA, Inc.",Processed Foods,0,0,1,CL-01,0.0,1151090,19800,United States,1,0
EPIC,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Equaline,United Natural Foods Inc.,Food Retailers & Distributors,0,0,3,CL-01,0.0,563588,27000,United States,1,0
Era,Procter & Gamble Company,Household & Personal Products,0,0,1,CL-01,0.0,2315748,80187,United States,1,0
Erin's,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Escada,Coty Inc.,Household & Personal Products,0,0,1,CL-01,0.0,10353,5304,United States,1,0
eSpring,Amway Corporation,Household & Personal Products,0,0,1,CL-01,1.0,0,3500,United States,1,0
Essential Everday,United Natural Foods Inc.,Food Retailers & Distributors,0,0,3,CL-01,0.0,563588,27000,United States,1,0
Essentials,"Rodan & Fields, LLC",Household & Personal Products,0,0,1,CL-01,0.0,336,600,United States,1,0
Esskay,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,0.0,3944258,19100,United States,1,0
Estathé,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Estee Lauder,Estée Lauder Companies Inc.,Household & Personal Products,0,0,1,CL-01,0.6,30800,17737,United States,1,0
Estrelitas,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Ethel-M,"Mars, Incorporated",Processed Foods,0,0,1,CL-01,1.0,0,40000,United States,1,0
Ethos,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Etos,Ahold Delhaize USA,Food Retailers & Distributors,0,0,3,CL-01,0.0,2679000,91646,United States,1,0
Eukanuba,"Mars, Incorporated",Processed Foods,0,0,1,CL-01,1.0,0,40000,United States,1,0
Eureka,"Bimbo Bakeries USA, Inc.",Processed Foods,0,0,1,CL-01,0.0,1151090,19800,United States,1,0
Euro Pacifico,Nissui,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,6000,United States,1,0
European Bakers,"Flowers Foods, Inc.",Processed Foods,0,0,1,CL-01,0.0,313426,4331,United States,1,0
Evangeline Maid,"Flowers Foods, Inc.",Processed Foods,0,0,1,CL-01,0.0,313426,4331,United States,1,0
Everfresh,Parmalat S.p.A.,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,6045,United States,1,0
Everfresh,National Beverage Corp.,Non-Alcoholic Beverages,0,0,3,CL-01,1.0,0,1138,United States,1,0
Everlasting Gobstopper Candy,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
EverPet,Dollar General,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1987999,34220,United States,1,0
Everspring,Target,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1671179,109120,United States,1,0
EveryDay,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
EveryPlate,HelloFresh,E-commerce,1,0,-1,CL-01,0.6,42184,6610,United States,1,0
Evian,Danone S.A.,Processed Foods,3,0,-1,CL-01,0.0,942000,29144,France,1,1
Evol,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Evolution Fresh,Starbucks,Restaurants,0,0,6,CL-01,0.0,687761,29460,United States,1,0
Evolve,K-VA-T Food Stores Inc. (Food City),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2500,United States,1,0
Ex-Seed,AAK AB,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,4260,United States,1,0
Excellence,Lindt & Sprungli,Processed Foods,0,0,1,CL-01,0.0,164276,5990,United States,1,0
Expresco,Premium Brands Holdings Corp.,Processed Foods,0,0,1,CL-01,0.0,81984,6300,United States,1,0
Extra,"Mars, Incorporated",Processed Foods,0,0,1,CL-01,1.0,0,40000,United States,1,0
Extra Foods,Loblaw Cos. Ltd.,Food Retailers & Distributors,0,0,3,CL-01,0.6,1114352,56500,United States,1,0
Extrême,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Exuviance,Johnson & Johnson,Biotechnology & Pharmaceuticals,1,0,4,CL-01,0.0,442880,93775,United States,1,0
Eye-V,"Neora International, LLC",Household & Personal Products,0,0,1,CL-01,1.0,0,820,United States,1,0
EyeSense,"SeneGence International, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,1000,United States,1,0
Eylea,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
f'real,Rich Products Corporation,Processed Foods,0,0,1,CL-01,1.0,0,4000,United States,1,0
F.W. Bryce,Nissui,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,6000,United States,1,0
Fabuloso,Colgate-Palmolive Co.,Household & Personal Products,0,0,1,CL-01,0.0,421100,17421,United States,1,0
Fairbanks,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,3,CL-01,1.0,0,5200,United States,1,0
Fairlife,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
Fairway Market,Village Supermarket,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2170,United States,1,0
Falfurrias,"Dairy Farmers of America, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,19300,United States,1,0
Fall Creek,"Grassland Dairy Products, Inc.",Agricultural Products,0,0,3,CL-01,1.0,0,1815,United States,1,0
Falls Creek,Meijer Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20500,United States,1,0
Familia Camarena Tequila,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,3,CL-01,1.0,0,5200,United States,1,0
Family Dollar,Dollar Tree,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1377681,25510,United States,1,0
Famous Amos,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Fancy Feast,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Fannie May 2,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Fanta,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
Fantastik,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,11000,United States,1,0
Fareway,Fareway Stores Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,1500,United States,1,0
Fareway Meat & Grocery,Fareway Stores Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,1500,United States,1,0
Farm Bread,Associated Food Stores,Processed Foods,0,0,1,CL-01,0.0,2660014,13884,United States,1,0
Farm Rich,Rich Products Corporation,Processed Foods,0,0,1,CL-01,1.0,0,4000,United States,1,0
Farman's,TreeHouse Foods Inc.,Processed Foods,0,0,1,CL-01,0.0,326429,3297,United States,1,0
Farmer John,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,0.0,3944258,19100,United States,1,0
Farmhouse Fare,Hain Celestial Group Inc.,Processed Foods,0,0,1,CL-01,0.0,43621,2054,United States,1,0
Farmhouse Originals,J.R. Simplot Company,Processed Foods,0,0,1,CL-01,1.0,0,6000,United States,1,0
Farmington,Save-A-Lot Corp.,Food Retailers & Distributors,0,0,3,CL-01,0.0,61558,4700,United States,1,0
Farmland,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,0.0,3944258,19100,United States,1,0
Farmwise,B&G Foods Inc.,Processed Foods,0,0,1,CL-01,0.0,86441,2056,United States,1,0
Fast 'N Easy,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,657906,11386,United States,1,0
Fast Fixin',Tyson Foods Inc.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,5760000,53282,United States,1,0
Fastrac,EG Group,Food Retailers & Distributors,0,0,3,CL-01,0.0,356723,26510,United States,1,0
Faust,Trident Seafoods Corporation,Processed Foods,0,0,1,CL-01,1.0,0,2550,United States,1,0
Favorite Day,Target,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1671179,109120,United States,1,0
Faygo,National Beverage Corp.,Non-Alcoholic Beverages,0,0,3,CL-01,1.0,0,1138,United States,1,0
FCF Co LTD,FCF Co LTD,Processed Foods,0,0,1,CL-01,1.0,0,1700,United States,1,0
Febreze,Procter & Gamble Company,Household & Personal Products,0,0,1,CL-01,0.0,2315748,80187,United States,1,0
Feline Pine,"Church & Dwight Co., Inc.",Household & Personal Products,0,0,1,CL-01,0.6,99310,5190,United States,1,0
Felix,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Ferrero,Ferrero Group,Processed Foods,3,0,-1,CL-01,0.6,547505,12700,Italy,1,1
Ferrero,Ebro Foods,Processed Foods,3,0,-1,CL-01,0.0,274152,2897,Italy,1,1
Festal,Seneca Foods Corporation,Processed Foods,0,0,1,CL-01,1.0,0,1385,United States,1,0
Festival Foods,"Festival Foods, Inc.",Food Retailers & Distributors,0,0,3,CL-01,1.0,0,813,United States,1,0
Fiber One,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Fiber One Cottage Cheese,HP Hood LLC,Processed Foods,0,0,1,CL-01,1.0,0,2700,United States,1,0
Fiber Plus,Kellogg,Processed Foods,0,0,1,CL-01,0.0,909000,14181,United States,1,0
Fibresse,Parmalat S.p.A.,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,6045,United States,1,0
Fiddle Faddle,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Field Day,United Natural Foods Inc.,Food Retailers & Distributors,0,0,3,CL-01,0.0,563588,27000,United States,1,0
Fieldstone Bakery,McKee Foods Corporation,Processed Foods,0,0,1,CL-01,1.0,0,1500,United States,1,0
Fiesta,Grupo Comercial Chedraui,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,234100,41952,United States,1,0
Fiesta,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Fiesta,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Fight'n Tomato Pizza Co.,CJ Cheiljedang Corporation,Processed Foods,0,0,1,CL-01,0.0,429374,30000,United States,1,0
Fiji Water,Wonderful Company LLC,Processed Foods,0,0,1,CL-01,1.0,0,4800,United States,1,0
Filorga,Colgate-Palmolive Co.,Household & Personal Products,0,0,1,CL-01,0.0,421100,17421,United States,1,0
Finiti,"Jeunesse Global, LLC",Household & Personal Products,0,0,1,CL-01,1.0,0,1300,United States,1,0
Finlandia,Brown-Forman Corp.,Alcoholic Beverages,0,0,3,CL-01,0.6,162388,3933,United States,1,0
Fiona,Bunge,Agricultural Products,0,0,3,CL-01,1.0,0,54500,United States,1,0
Fircrest Farms,"Foster Farms, LLC",Agricultural Products,0,0,3,CL-01,1.0,0,2500,United States,1,0
Fire Braised,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,657906,11386,United States,1,0
Fire River Farms,Sysco,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,78800,United States,1,0
First Response,"Church & Dwight Co., Inc.",Household & Personal Products,0,0,1,CL-01,0.6,99310,5190,United States,1,0
Fisher,"John B. Sanfilippo & Son, Inc.",Processed Foods,0,0,1,CL-01,1.0,0,858,United States,1,0
Fisherman's Wharf,Southeastern Grocers LLC,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,10500,United States,1,0
Fit & Active,Aldi U.S.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,121100,United States,1,0
Fitness,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Five Alive,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
FKILLA,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,11000,United States,1,0
Flatfish,Nissui,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,6000,United States,1,0
Flawless,"Church & Dwight Co., Inc.",Household & Personal Products,0,0,1,CL-01,0.6,99310,5190,United States,1,0
Fleecy,Colgate-Palmolive Co.,Household & Personal Products,0,0,1,CL-01,0.0,421100,17421,United States,1,0
Fleetmaster,QuikTrip Corp.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20300,United States,1,0
Fleischmann's,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Fleischmann's,Associated British Foods plc,Processed Foods,0,0,1,CL-01,0.0,2907000,16921,United States,1,0
Flint,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
Flock’s Finest,"Topco Associates, LLC",Processed Foods,0,0,1,CL-01,1.0,0,3500,United States,1,0
Floor Science,"Diversey Holdings, Ltd.",Chemicals,1,0,5,CL-01,0.0,24832,2619,United States,1,0
Flowers Foods,"Flowers Foods, Inc.",Processed Foods,0,0,1,CL-01,0.0,313426,4331,United States,1,0
Folgers,J. M. Smucker Company,Processed Foods,0,0,-1,CL-01,0.0,208640,7999,United States,1,0
FONA,McCormick & Company,Processed Foods,0,0,1,CL-01,0.0,96615,6318,United States,1,0
Fontanini,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,657906,11386,United States,1,0
Food 4 Less,Kroger Co.,Food Retailers & Distributors,0,0,3,CL-01,0.0,4894705,42639,United States,1,0
Food City,K-VA-T Food Stores Inc. (Food City),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2500,United States,1,0
Food City 500,K-VA-T Food Stores Inc. (Food City),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2500,United States,1,0
Food City Fresh,K-VA-T Food Stores Inc. (Food City),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2500,United States,1,0
Food City Premium Brands Holdings Corp.,K-VA-T Food Stores Inc. (Food City),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2500,United States,1,0
Food Club,"Topco Associates, LLC",Processed Foods,0,0,1,CL-01,1.0,0,3500,United States,1,0
Food Dynasty,Key Food Stores Cooperative,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,3200,United States,1,0
Food Giant,Houchens Industries Inc.,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,1.0,0,3500,United States,1,0
Food Lion,Ahold Delhaize USA,Food Retailers & Distributors,0,0,-1,CL-01,0.0,2679000,91646,United States,1,0
Food Should Taste Good,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Food Source,Raley's Supermarkets,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,5300,United States,1,0
Food Universe,Key Food Stores Cooperative,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,3200,United States,1,0
FoodMaxx,Save Mart Cos.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,4600,United States,1,0
Foods Co,Kroger Co.,Food Retailers & Distributors,0,0,3,CL-01,0.0,4894705,42639,United States,1,0
ForA Butter,AAK AB,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,4260,United States,1,0
Foremost Farms,Foremost Farms USA Cooperative,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,1700,United States,1,0
Forever Diamonds,Mary Kay Inc.,Household & Personal Products,0,0,1,CL-01,1.0,0,2800,United States,1,0
Forever Pals,Dollar General,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1987999,34220,United States,1,0
Fortinos,Loblaw Cos. Ltd.,Food Retailers & Distributors,0,0,3,CL-01,0.6,1114352,56500,United States,1,0
Foster Farms,"Foster Farms, LLC",Agricultural Products,0,0,3,CL-01,1.0,0,2500,United States,1,0
Foster's,Molson Coors Beverage Company,Alcoholic Beverages,0,0,3,CL-01,0.0,872621,10280,United States,1,0
Four Roses,Kirin,Alcoholic Beverages,0,0,3,CL-01,1.0,0,14990,United States,1,0
Four Star Natural Beef,JBS USA,"Meat, Poultry & Dairy",0,0,2,CL-01,0.0,5558685,374900,United States,1,0
Fox,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
Francisco,"Bimbo Bakeries USA, Inc.",Processed Foods,0,0,1,CL-01,0.0,1151090,19800,United States,1,0
Franco-American,Campbell Soup Company,Processed Foods,0,0,1,CL-01,0.0,672061,7635,United States,1,0
Frank Brunckhorst,"Frank Brunckhorst Company, LLC","Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,1200,United States,1,0
Frank Cooper's,Hain Celestial Group Inc.,Processed Foods,0,0,1,CL-01,0.0,43621,2054,United States,1,0
Frank's RedHot,McCormick & Company,Processed Foods,0,0,1,CL-01,0.0,96615,6318,United States,1,0
Frappuccino,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Fred Meyer,Kroger Co.,Food Retailers & Distributors,0,0,3,CL-01,0.0,4894705,42639,United States,1,0
Fred's,Ajinomoto,Processed Foods,0,0,1,CL-01,1.0,0,969,United States,1,0
Frederik's,Meijer Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20500,United States,1,0
Freedom,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,11000,United States,1,0
Freedoms Choice,Defense Commissary Agency (DeCA),Food Retailers & Distributors,0,0,3,CL-01,1.0,0,4400,United States,1,0
Freezerfrige,J.R. Simplot Company,Processed Foods,0,0,1,CL-01,1.0,0,6000,United States,1,0
Freezoni,QuikTrip Corp.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20300,United States,1,0
Frei Brothers,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,3,CL-01,1.0,0,5200,United States,1,0
Freihofer's,"Bimbo Bakeries USA, Inc.",Processed Foods,0,0,1,CL-01,0.0,1151090,19800,United States,1,0
Freiss,Indofood,Processed Foods,0,0,1,CL-01,1.0,0,7330,United States,1,0
Frenadol,Johnson & Johnson,Biotechnology & Pharmaceuticals,1,0,4,CL-01,0.0,442880,93775,United States,1,0
French's,McCormick & Company,Processed Foods,0,0,1,CL-01,0.0,96615,6318,United States,1,0
Fresca,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
Frescarini,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Freschetta,CJ Cheiljedang Corporation,Processed Foods,0,0,1,CL-01,0.0,429374,30000,United States,1,0
Fresco y Más,Southeastern Grocers LLC,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,10500,United States,1,0
Fresh,Brookshire Grocery Co.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,2700,United States,1,0
Fresh & Finest,SpartanNash Co.,Food Retailers & Distributors,0,0,3,CL-01,0.0,393217,9600,United States,1,0
Fresh Creative Foods,"Reser's Fine Foods, Inc.",Processed Foods,0,0,1,CL-01,1.0,0,1300,United States,1,0
Fresh Cuts,Perdue Farms Inc.,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,8000,United States,1,0
Fresh Direct,Ahold Delhaize USA,Food Retailers & Distributors,0,0,3,CL-01,0.0,2679000,91646,United States,1,0
Fresh Farms,Associated Food Stores,Processed Foods,0,0,1,CL-01,0.0,2660014,13884,United States,1,0
Fresh from Meijer,Meijer Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20500,United States,1,0
Fresh Market,Fresh Market,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,1800,United States,1,0
Fresh Step,Clorox Company,Household & Personal Products,0,0,1,CL-01,0.0,91887,7107,United States,1,0
Fresh Thyme Farmers Market,Fresh Thyme Farmers Market,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,600,United States,1,0
Fresh Thyme Farmers Market,Meijer Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20500,United States,1,0
Freshness Guaranteed,Walmart,Multiline and Specialty Retailers & Distributors,0,0,-1,CL-01,0.0,14620902,611300,United States,1,0
Freshpoint Natural,Sysco,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,78800,United States,1,0
Freybe,Premium Brands Holdings Corp.,Processed Foods,0,0,1,CL-01,0.0,81984,6300,United States,1,0
Frica,Parmalat S.p.A.,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,6045,United States,1,0
Friendship,Saputo Inc.,Processed Foods,0,0,1,CL-01,0.0,879317,12880,United States,1,0
Frigo,Saputo Inc.,Processed Foods,0,0,1,CL-01,0.0,879317,12880,United States,1,0
Frigo Cheesheads,Saputo Inc.,Processed Foods,0,0,1,CL-01,0.0,879317,12880,United States,1,0
Friskies,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Fritos,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Frontera,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Froot Loops,Kellogg,Processed Foods,0,0,1,CL-01,0.0,909000,14181,United States,1,0
Frosted Krispies,Kellogg,Processed Foods,0,0,1,CL-01,0.0,909000,14181,United States,1,0
Frosten Mini Wheats,Kellogg,Processed Foods,0,0,1,CL-01,0.0,909000,14181,United States,1,0
Frosty Paws,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,United States,1,0
Frozen Udon & Ramen,Nissin Foods,Processed Foods,0,0,1,CL-01,0.0,134448,5000,United States,1,0
Fruit By The Foot,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Fruit Gushers,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Fruit Roll-Ups,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Fruitamin,Indofood,Processed Foods,0,0,1,CL-01,1.0,0,7330,United States,1,0
Fruitopia,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
Fry’s,Kroger Co.,Food Retailers & Distributors,0,0,3,CL-01,0.0,4894705,42639,United States,1,0
Fulfil,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Full Circle Market,"Topco Associates, LLC",Processed Foods,0,0,1,CL-01,1.0,0,3500,United States,1,0
Full Moon,Perdue Farms Inc.,"Meat, Poultry & Dairy",0,0,1,CL-01,1.0,0,8000,United States,1,0
Full Throttle,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,United States,1,0
Fun Club,Meijer Inc.,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,20500,United States,1,0
Funables,Ferrero Group,Processed Foods,0,0,1,CL-01,0.6,547505,12700,United States,1,0
Funnel Cake Factory,J&J Snack Foods Corp.,Processed Foods,0,0,1,CL-01,1.0,0,1145,United States,1,0
Funyuns,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Future Collective,Target,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,1671179,109120,United States,1,0
Fuyi,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,11000,United States,1,0
G.F. Swift 1855 Brand,JBS USA,"Meat, Poultry & Dairy",0,0,2,CL-01,0.0,5558685,374900,United States,1,0
G2,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Gabriela Sabatini,Coty Inc.,Household & Personal Products,0,0,1,CL-01,0.0,10353,5304,United States,1,0
Gagan,Bunge,Agricultural Products,0,0,3,CL-01,1.0,0,54500,United States,1,0
Gain,Procter & Gamble Company,Household & Personal Products,0,0,1,CL-01,0.0,2315748,80187,United States,1,0
Gala Fresh,Key Food Stores Cooperative,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,3200,United States,1,0
Galbani,Kraft Heinz,Processed Foods,0,0,1,CL-01,0.0,959333,26042,United States,1,0
Gale's,Hain Celestial Group Inc.,Processed Foods,0,0,1,CL-01,0.0,43621,2054,United States,1,0
Gall & Gall,Ahold Delhaize USA,Food Retailers & Distributors,0,0,3,CL-01,0.0,2679000,91646,United States,1,0
Gallo,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,3,CL-01,1.0,0,5200,United States,1,0
Gallo Salame,Tyson Foods Inc.,"Meat, Poultry & Dairy",0,0,1,CL-01,0.0,5760000,53282,United States,1,0
Gamesa,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Gardein,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Garden of Eatin',Hain Celestial Group Inc.,Processed Foods,0,0,1,CL-01,0.0,43621,2054,United States,1,0
Gardenburger,Kellogg,Processed Foods,0,0,1,CL-01,0.0,909000,14181,United States,1,0
Gardetto's,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Garo Falo,Ebro Foods,Processed Foods,0,0,1,CL-01,0.0,274152,2897,United States,1,0
Gastrogafin,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
Gatineau,"Revlon, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,2079,United States,1,0
Gatorade,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,3,CL-01,0.0,4231588,86392,United States,1,0
Gaucho,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
GBarbosa,Cencosud,Multiline and Specialty Retailers & Distributors,0,0,3,CL-01,0.0,727466,14283,United States,1,0
General Mills,General Mills,Processed Foods,0,0,1,CL-01,0.0,356300,18993,United States,1,0
Genie Pledge,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,11000,United States,1,0
Gentleman Jack,Brown-Forman Corp.,Alcoholic Beverages,0,0,3,CL-01,0.6,162388,3933,United States,1,0
Geo Adams,JBS USA,"Meat, Poultry & Dairy",0,0,2,CL-01,0.0,5558685,374900,United States,1,0
George Killian's Irish Red,Molson Coors Beverage Company,Alcoholic Beverages,0,0,3,CL-01,0.0,872621,10280,United States,1,0
